County GEOID,County/City,Population,Neighbor Names,Neighbor GEOIDs,District
51001,Accomack County,33239,"['Lancaster County', 'Mathews County', 'Middlesex County', 'Northampton County', 'Northumberland County']","[51103, 51115, 51119, 51131, 51133]",7
51003,Albemarle County,115676,"['Augusta County', 'Buckingham County', 'Fluvanna County', 'Greene County', 'Louisa County', 'Nelson County', 'Orange County', 'Rockingham County', 'Charlottesville city']","[51015, 51029, 51065, 51079, 51109, 51125, 51137, 51165, 51540]",5
51005,Alleghany County,14595,"['Bath County', 'Botetourt County', 'Craig County', 'Rockbridge County', 'Covington city']","[51017, 51023, 51045, 51163, 51580]",2
51007,Amelia County,13480,"['Chesterfield County', 'Cumberland County', 'Dinwiddie County', 'Nottoway County', 'Powhatan County', 'Prince Edward County']","[51041, 51049, 51053, 51135, 51145, 51147]",5
51009,Amherst County,31396,"['Appomattox County', 'Bedford County', 'Campbell County', 'Nelson County', 'Rockbridge County', 'Lynchburg city']","[51011, 51019, 51031, 51125, 51163, 51680]",1
51011,Appomattox County,16864,"['Amherst County', 'Buckingham County', 'Campbell County', 'Charlotte County', 'Nelson County', 'Prince Edward County']","[51009, 51029, 51031, 51037, 51125, 51147]",5
51013,Arlington County,234162,"['Fairfax County', 'Alexandria city', 'Falls Church city']","[51059, 51510, 51610]",7
51015,Augusta County,78247,"['Albemarle County', 'Bath County', 'Highland County', 'Nelson County', 'Rockbridge County', 'Rockingham County', 'Staunton city', 'Waynesboro city']","[51003, 51017, 51091, 51125, 51163, 51165, 51790, 51820]",9
51017,Bath County,4051,"['Alleghany County', 'Augusta County', 'Highland County', 'Rockbridge County']","[51005, 51015, 51091, 51163]",1
51019,Bedford County,81525,"['Amherst County', 'Botetourt County', 'Campbell County', 'Franklin County', 'Pittsylvania County', 'Roanoke County', 'Rockbridge County', 'Lynchburg city']","[51009, 51023, 51031, 51067, 51143, 51161, 51163, 51680]",11
51021,Bland County,6179,"['Giles County', 'Pulaski County', 'Smyth County', 'Tazewell County', 'Wythe County']","[51071, 51155, 51173, 51185, 51197]",7
51023,Botetourt County,34125,"['Alleghany County', 'Bedford County', 'Craig County', 'Roanoke County', 'Rockbridge County']","[51005, 51019, 51045, 51161, 51163]",7
51025,Brunswick County,15749,"['Dinwiddie County', 'Greensville County', 'Lunenburg County', 'Mecklenburg County', 'Nottoway County']","[51053, 51081, 51111, 51117, 51135]",5
51027,Buchanan County,19087,"['Dickenson County', 'Russell County', 'Tazewell County']","[51051, 51167, 51185]",4
51029,Buckingham County,16978,"['Albemarle County', 'Appomattox County', 'Cumberland County', 'Fluvanna County', 'Nelson County', 'Prince Edward County']","[51003, 51011, 51049, 51065, 51125, 51147]",2
51031,Campbell County,55270,"['Amherst County', 'Appomattox County', 'Bedford County', 'Charlotte County', 'Halifax County', 'Pittsylvania County', 'Lynchburg city']","[51009, 51011, 51019, 51037, 51083, 51143, 51680]",7
51033,Caroline County,32640,"['Essex County', 'Hanover County', 'King and Queen County', 'King George County', 'King William County', 'Spotsylvania County', 'Stafford County']","[51057, 51085, 51097, 51099, 51101, 51177, 51179]",3
51035,Carroll County,29239,"['Floyd County', 'Grayson County', 'Patrick County', 'Pulaski County', 'Wythe County', 'Galax city']","[51063, 51077, 51141, 51155, 51197, 51640]",8
51036,Charles City County,6610,"['Chesterfield County', 'Henrico County', 'James City County', 'New Kent County', 'Prince George County', 'Surry County']","[51041, 51087, 51095, 51127, 51149, 51181]",1
51037,Charlotte County,11336,"['Appomattox County', 'Campbell County', 'Halifax County', 'Lunenburg County', 'Mecklenburg County', 'Prince Edward County']","[51011, 51031, 51083, 51111, 51117, 51147]",7
51041,Chesterfield County,383876,"['Amelia County', 'Charles City County', 'Dinwiddie County', 'Goochland County', 'Henrico County', 'Powhatan County', 'Prince George County', 'Colonial Heights city', 'Hopewell city', 'Petersburg city', 'Richmond city']","[51007, 51036, 51053, 51075, 51087, 51145, 51149, 51570, 51670, 51730, 51760]",1
51043,Clarke County,15466,"['Fauquier County', 'Frederick County', 'Loudoun County', 'Warren County']","[51061, 51069, 51107, 51187]",3
51045,Craig County,4843,"['Alleghany County', 'Botetourt County', 'Giles County', 'Montgomery County', 'Roanoke County']","[51005, 51023, 51071, 51121, 51161]",4
51047,Culpeper County,54973,"['Fauquier County', 'Madison County', 'Orange County', 'Rappahannock County', 'Spotsylvania County', 'Stafford County']","[51061, 51113, 51137, 51157, 51177, 51179]",10
51049,Cumberland County,9878,"['Amelia County', 'Buckingham County', 'Fluvanna County', 'Goochland County', 'Powhatan County', 'Prince Edward County']","[51007, 51029, 51065, 51075, 51145, 51147]",11
51051,Dickenson County,13640,"['Buchanan County', 'Russell County', 'Wise County']","[51027, 51167, 51195]",7
51053,Dinwiddie County,28343,"['Amelia County', 'Brunswick County', 'Chesterfield County', 'Greensville County', 'Nottoway County', 'Prince George County', 'Sussex County', 'Petersburg city']","[51007, 51025, 51041, 51081, 51135, 51149, 51183, 51730]",6
51057,Essex County,10598,"['Caroline County', 'King and Queen County', 'King George County', 'Lancaster County', 'Middlesex County', 'Richmond County', 'Westmoreland County']","[51033, 51097, 51099, 51103, 51119, 51159, 51193]",5
51059,Fairfax County,1141878,"['Arlington County', 'Loudoun County', 'Prince William County', 'Alexandria city', 'Fairfax city', 'Falls Church city']","[51013, 51107, 51153, 51510, 51600, 51610]",1
51061,Fauquier County,75165,"['Clarke County', 'Culpeper County', 'Loudoun County', 'Prince William County', 'Rappahannock County', 'Stafford County', 'Warren County']","[51043, 51047, 51107, 51153, 51157, 51179, 51187]",10
51063,Floyd County,15679,"['Carroll County', 'Franklin County', 'Montgomery County', 'Patrick County', 'Pulaski County', 'Roanoke County']","[51035, 51067, 51121, 51141, 51155, 51161]",5
51065,Fluvanna County,28462,"['Albemarle County', 'Buckingham County', 'Cumberland County', 'Goochland County', 'Louisa County']","[51003, 51029, 51049, 51075, 51109]",6
51067,Franklin County,55549,"['Bedford County', 'Floyd County', 'Henry County', 'Patrick County', 'Pittsylvania County', 'Roanoke County']","[51019, 51063, 51089, 51141, 51143, 51161]",3
51069,Frederick County,95994,"['Clarke County', 'Shenandoah County', 'Warren County', 'Winchester city']","[51043, 51171, 51187, 51840]",1
51071,Giles County,16457,"['Bland County', 'Craig County', 'Montgomery County', 'Pulaski County']","[51021, 51045, 51121, 51155]",5
51073,Gloucester County,40057,"['James City County', 'King and Queen County', 'Mathews County', 'Middlesex County', 'York County']","[51095, 51097, 51115, 51119, 51199]",2
51075,Goochland County,27197,"['Chesterfield County', 'Cumberland County', 'Fluvanna County', 'Hanover County', 'Henrico County', 'Louisa County', 'Powhatan County']","[51041, 51049, 51065, 51085, 51087, 51109, 51145]",2
51077,Grayson County,15285,"['Carroll County', 'Smyth County', 'Washington County', 'Wythe County', 'Galax city']","[51035, 51173, 51191, 51197, 51640]",1
